timestamp,memory_mb,memory_percent
1748589537.87,713.62,14.43
1748589538.01,763.73,15.45
1748589538.16,764.62,15.46
1748589538.31,765.43,15.48
1748589538.46,765.94,15.49
1748589538.60,766.38,15.50
1748589538.74,766.38,15.50
1748589538.88,766.71,15.51
1748589539.03,767.14,15.52
1748589539.16,767.54,15.52
1748589539.30,767.66,15.53
1748589539.47,767.91,15.53
1748589539.63,768.22,15.54
1748589539.76,768.47,15.54
1748589539.89,768.66,15.55
1748589540.03,768.66,15.55
1748589540.18,768.83,15.55
1748589540.32,768.96,15.55
1748589540.45,769.08,15.56
1748589540.59,769.33,15.56
1748589540.75,769.46,15.56
1748589540.89,769.46,15.56
1748589541.03,769.62,15.57
1748589541.18,769.62,15.57
1748589541.32,769.74,15.57
1748589541.45,769.87,15.57
1748589541.60,770.17,15.58
1748589541.74,770.47,15.58
1748589541.88,770.63,15.59
1748589542.05,770.93,15.59
1748589542.71,771.83,15.61
1748589543.25,772.52,15.62
1748589543.71,773.36,15.64
1748589543.87,773.36,15.64
1748589544.00,773.67,15.65
1748589544.15,773.79,15.65
1748589544.29,773.94,15.65
1748589544.45,774.12,15.66
1748589544.59,774.12,15.66
1748589544.74,774.30,15.66
1748589544.90,774.46,15.66
1748589545.03,774.46,15.66
1748589545.69,775.31,15.68
1748589545.85,775.31,15.68
1748589546.03,775.62,15.69
1748589546.72,776.47,15.70
1748589546.87,776.63,15.71
1748589548.56,779.00,15.76
1748589548.74,779.12,15.76
1748589549.98,779.91,15.77
1748589550.14,779.91,15.77
1748589550.27,779.91,15.77
1748589550.43,779.91,15.77
1748589550.57,779.91,15.77
1748589550.70,779.91,15.77
1748589550.84,780.08,15.78
1748589550.98,780.08,15.78
1748589551.11,780.08,15.78
1748589551.70,780.39,15.78
1748589551.86,780.39,15.78
1748589552.02,780.39,15.78
1748589552.18,780.39,15.78
1748589552.35,780.56,15.79
1748589552.50,780.56,15.79
1748589552.64,780.56,15.79
1748589552.77,780.56,15.79
1748589552.91,780.56,15.79
1748589553.07,780.56,15.79
1748589553.23,780.56,15.79
1748589553.39,780.69,15.79
1748589553.53,780.69,15.79
1748589553.66,780.69,15.79
1748589553.82,780.69,15.79
1748589553.99,780.69,15.79
1748589554.15,780.69,15.79
1748589554.30,780.69,15.79
1748589554.43,780.69,15.79
1748589555.68,780.87,15.79
1748589556.73,781.05,15.80
1748589557.18,781.05,15.80
1748589557.33,781.05,15.80
1748589557.48,781.05,15.80
1748589557.71,781.05,15.80
1748589558.49,781.05,15.80
1748589558.64,781.05,15.80
1748589558.81,781.05,15.80
1748589559.72,781.18,15.80
1748589560.22,781.30,15.80
1748589561.70,781.30,15.80
1748589562.28,781.30,15.80
1748589562.60,781.49,15.81
1748589563.23,781.49,15.81
1748589564.61,781.49,15.81
1748589565.70,781.66,15.81
1748589565.84,781.66,15.81
1748589566.02,781.66,15.81
1748589566.17,781.66,15.81
1748589566.31,781.66,15.81
1748589566.46,781.66,15.81
1748589566.60,781.78,15.81
1748589566.75,781.78,15.81
1748589566.91,781.78,15.81
1748589567.05,781.78,15.81
1748589567.18,781.78,15.81
1748589567.32,781.78,15.81
1748589567.45,781.78,15.81
1748589567.68,781.78,15.81
1748589568.03,781.78,15.81
1748589568.59,781.78,15.81
1748589569.02,781.78,15.81
1748589569.39,781.78,15.81
1748589569.62,781.78,15.81
1748589570.11,781.96,15.82
1748589570.25,781.96,15.82
1748589570.40,781.96,15.82
1748589570.54,781.96,15.82
1748589570.70,781.96,15.82
1748589570.84,781.96,15.82
1748589570.99,781.96,15.82
1748589571.15,781.96,15.82
1748589571.29,781.96,15.82
1748589571.43,781.96,15.82
1748589571.57,781.96,15.82
1748589571.72,781.96,15.82
1748589571.87,781.96,15.82
1748589572.00,781.96,15.82
1748589572.14,781.96,15.82
1748589572.30,781.96,15.82
1748589572.69,781.96,15.82
1748589572.95,781.96,15.82
1748589573.70,781.96,15.82
1748589575.69,781.96,15.82
1748589575.91,781.96,15.82
1748589576.69,781.96,15.82
1748589577.70,781.96,15.82
1748589578.51,781.96,15.82
1748589579.68,781.96,15.82
1748589580.69,781.96,15.82
1748589581.71,781.96,15.82
1748589582.70,781.96,15.82
1748589583.69,781.96,15.82
1748589584.27,781.96,15.82
1748589584.45,781.96,15.82
1748589584.69,781.96,15.82
1748589584.84,781.96,15.82
1748589585.01,781.96,15.82
1748589585.17,781.96,15.82
1748589585.34,781.96,15.82
1748589586.68,781.96,15.82
1748589586.82,781.96,15.82
1748589586.95,781.96,15.82
1748589587.11,781.96,15.82
1748589587.25,781.96,15.82
1748589587.40,781.96,15.82
1748589587.66,782.10,15.82
1748589588.04,782.10,15.82
1748589588.27,782.28,15.82
1748589588.69,782.28,15.82
1748589588.84,782.44,15.83
1748589589.01,782.44,15.83
1748589589.16,782.61,15.83
1748589589.32,782.74,15.83
1748589589.46,782.74,15.83
1748589589.61,782.92,15.83
1748589589.77,782.92,15.83
1748589589.95,782.92,15.83
1748589590.09,782.92,15.83
1748589590.25,782.92,15.83
1748589590.38,783.05,15.84
1748589590.70,783.21,15.84
1748589590.84,783.21,15.84
1748589591.04,783.46,15.85
1748589591.19,783.46,15.85
1748589591.35,783.46,15.85
1748589591.89,783.64,15.85
1748589592.10,783.64,15.85
1748589592.53,783.77,15.85
1748589593.07,784.13,15.86
1748589593.70,784.69,15.87
1748589593.84,784.82,15.87
1748589593.99,784.82,15.87
1748589594.13,785.00,15.88
1748589594.28,785.00,15.88
1748589594.42,785.15,15.88
1748589594.56,785.31,15.88
1748589595.71,786.68,15.91
1748589595.94,786.80,15.91
1748589596.09,786.98,15.92
1748589596.23,787.11,15.92
1748589596.59,787.60,15.93
1748589596.74,787.60,15.93
1748589597.26,787.72,15.93
1748589597.41,787.86,15.93
1748589597.69,787.99,15.94
1748589598.35,788.17,15.94
1748589599.68,789.02,15.96
1748589600.15,789.49,15.97
1748589600.49,789.49,15.97
1748589600.69,789.49,15.97
1748589600.85,789.49,15.97
1748589601.68,789.49,15.97
1748589601.86,789.49,15.97
1748589602.69,789.49,15.97
1748589603.68,789.49,15.97
1748589604.49,789.49,15.97
1748589604.68,789.49,15.97
1748589605.70,789.49,15.97
1748589605.85,789.49,15.97
1748589606.33,789.49,15.97
1748589606.48,789.49,15.97
1748589606.62,789.49,15.97
1748589607.70,789.49,15.97
1748589607.84,789.49,15.97
1748589608.69,789.49,15.97
1748589608.82,789.49,15.97
1748589608.97,789.49,15.97
1748589609.12,789.49,15.97
1748589609.25,789.49,15.97
1748589609.38,789.49,15.97
1748589609.53,789.49,15.97
1748589609.70,789.49,15.97
1748589610.62,789.49,15.97
1748589611.71,789.49,15.97
1748589612.69,789.49,15.97
1748589613.73,789.49,15.97
1748589613.89,789.49,15.97
1748589614.03,789.49,15.97
1748589614.77,789.49,15.97
1748589615.64,789.49,15.97
1748589615.82,789.49,15.97
1748589615.96,789.49,15.97
1748589616.10,789.49,15.97
1748589616.22,789.49,15.97
1748589616.35,789.49,15.97
1748589616.47,789.49,15.97
1748589616.61,789.49,15.97
1748589616.74,789.49,15.97
1748589616.87,789.49,15.97
1748589617.00,789.49,15.97
1748589617.12,789.49,15.97
1748589617.25,789.49,15.97
1748589617.39,789.49,15.97
1748589617.53,789.49,15.97
1748589617.67,789.49,15.97
