timestamp,memory_mb,memory_percent
1749205364.64,918.05,18.57
1749205364.77,925.52,18.72
1749205364.90,949.93,19.21
1749205365.05,967.90,19.58
1749205365.19,968.79,19.59
1749205365.36,968.79,19.59
1749205365.50,969.10,19.60
1749205365.66,969.10,19.60
1749205365.81,969.10,19.60
1749205365.97,969.63,19.61
1749205366.14,970.01,19.62
1749205366.29,970.27,19.62
1749205366.43,970.70,19.63
1749205366.60,971.07,19.64
1749205366.76,971.07,19.64
1749205366.91,971.07,19.64
1749205367.04,971.26,19.64
1749205367.46,971.90,19.66
1749205367.64,972.03,19.66
1749205368.45,973.14,19.68
1749205369.45,974.04,19.70
1749205369.62,974.04,19.70
1749205369.76,974.04,19.70
1749205369.91,974.04,19.70
1749205370.15,974.04,19.70
1749205370.37,974.04,19.70
1749205370.54,974.04,19.70
1749205370.70,974.35,19.71
1749205370.85,974.35,19.71
1749205371.00,974.65,19.71
1749205371.14,974.65,19.71
1749205371.30,974.78,19.72
1749205371.46,974.96,19.72
1749205371.60,975.11,19.72
1749205371.75,975.24,19.72
1749205371.90,975.36,19.73
1749205372.05,975.36,19.73
1749205372.19,975.36,19.73
1749205372.36,975.36,19.73
1749205372.60,975.36,19.73
1749205372.75,975.36,19.73
1749205372.91,975.36,19.73
1749205373.14,975.55,19.73
1749205373.42,975.55,19.73
1749205373.73,975.55,19.73
1749205373.92,975.55,19.73
1749205374.08,975.70,19.73
1749205374.21,975.70,19.73
1749205374.37,975.88,19.74
1749205374.53,975.88,19.74
1749205374.72,976.18,19.74
1749205374.86,976.31,19.75
1749205374.99,976.31,19.75
1749205375.14,976.43,19.75
1749205375.28,976.56,19.75
1749205375.44,976.68,19.75
1749205375.60,976.81,19.76
1749205375.75,976.99,19.76
1749205375.91,977.12,19.76
1749205376.08,977.30,19.77
1749205376.23,977.46,19.77
1749205377.44,977.46,19.77
1749205379.04,977.46,19.77
1749205379.20,977.46,19.77
1749205379.35,977.59,19.77
1749205379.52,977.84,19.78
1749205379.69,978.02,19.78
1749205379.83,978.14,19.78
1749205380.41,978.14,19.78
1749205380.56,978.14,19.78
1749205381.47,979.06,19.80
1749205381.65,979.06,19.80
1749205381.80,979.06,19.80
1749205381.96,979.19,19.80
1749205382.13,979.32,19.81
1749205382.28,979.45,19.81
1749205382.48,979.45,19.81
1749205382.72,979.63,19.81
1749205382.87,979.63,19.81
1749205383.01,979.63,19.81
1749205383.20,979.63,19.81
1749205383.43,979.63,19.81
1749205383.63,979.63,19.81
1749205383.81,979.63,19.81
1749205384.05,979.63,19.81
1749205384.24,979.63,19.81
1749205384.41,979.76,19.82
1749205384.70,979.76,19.82
1749205384.87,979.76,19.82
1749205385.05,979.88,19.82
1749205385.21,980.01,19.82
1749205385.35,980.01,19.82
1749205385.48,980.19,19.82
1749205385.61,980.34,19.83
1749205385.81,980.48,19.83
1749205385.94,980.48,19.83
1749205386.10,980.66,19.83
1749205386.26,980.66,19.83
1749205386.40,980.66,19.83
1749205386.55,980.79,19.84
1749205386.69,980.91,19.84
1749205386.85,981.04,19.84
1749205387.01,981.04,19.84
1749205387.16,981.22,19.85
1749205387.33,981.38,19.85
1749205387.46,981.38,19.85
1749205387.59,981.38,19.85
1749205387.75,981.38,19.85
1749205387.88,981.51,19.85
1749205388.15,981.67,19.85
1749205388.29,981.67,19.85
1749205388.45,981.98,19.86
1749205388.63,982.10,19.86
1749205388.80,982.24,19.87
1749205388.95,982.36,19.87
1749205389.13,982.49,19.87
1749205389.29,982.67,19.87
1749205389.47,982.67,19.87
1749205389.65,982.80,19.88
1749205389.82,983.07,19.88
1749205390.01,983.07,19.88
1749205390.15,983.07,19.88
