timestamp,memory_mb,memory_percent
1749205364.66,95.85,1.94
1749205364.79,95.85,1.94
1749205364.91,95.85,1.94
1749205365.07,95.98,1.94
1749205365.24,95.98,1.94
1749205365.38,95.98,1.94
1749205365.54,95.98,1.94
1749205365.68,95.98,1.94
1749205365.84,95.98,1.94
1749205366.02,95.98,1.94
1749205366.16,95.98,1.94
1749205366.31,95.98,1.94
1749205366.48,95.98,1.94
1749205366.64,95.98,1.94
1749205366.79,95.98,1.94
1749205366.92,95.98,1.94
1749205367.10,95.98,1.94
1749205367.52,95.98,1.94
1749205367.67,95.98,1.94
1749205368.54,95.98,1.94
1749205369.47,95.98,1.94
1749205369.63,95.98,1.94
1749205369.77,95.98,1.94
1749205369.93,95.98,1.94
1749205370.16,95.98,1.94
1749205370.40,95.98,1.94
1749205370.57,95.98,1.94
1749205370.73,95.98,1.94
1749205370.87,95.98,1.94
1749205371.03,95.98,1.94
1749205371.16,95.98,1.94
1749205371.33,95.98,1.94
1749205371.49,95.98,1.94
1749205371.62,95.98,1.94
1749205371.78,96.10,1.94
1749205371.94,96.10,1.94
1749205372.08,96.10,1.94
1749205372.21,96.10,1.94
1749205372.38,96.10,1.94
1749205372.61,96.10,1.94
1749205372.77,96.23,1.95
1749205372.93,96.23,1.95
1749205373.17,96.23,1.95
1749205373.45,96.23,1.95
1749205373.74,96.23,1.95
1749205373.96,96.35,1.95
1749205374.09,96.35,1.95
1749205374.22,96.35,1.95
1749205374.41,96.48,1.95
1749205374.58,96.73,1.96
1749205374.75,96.98,1.96
1749205374.87,97.10,1.96
1749205375.02,97.35,1.97
1749205375.15,97.60,1.97
1749205375.32,97.73,1.98
1749205375.46,97.98,1.98
1749205375.62,98.35,1.99
1749205375.79,98.60,1.99
1749205375.94,98.85,2.00
1749205376.10,99.23,2.01
1749205376.24,99.35,2.01
1749205377.45,99.35,2.01
1749205379.08,99.35,2.01
1749205379.21,99.35,2.01
1749205379.39,99.35,2.01
1749205379.55,99.73,2.02
1749205379.71,99.98,2.02
1749205379.89,100.23,2.03
1749205380.45,100.48,2.03
1749205380.59,100.60,2.03
1749205381.51,103.23,2.09
1749205381.66,103.35,2.09
1749205381.85,103.73,2.10
1749205382.01,103.98,2.10
1749205382.17,104.10,2.11
1749205382.34,104.49,2.11
1749205382.56,104.86,2.12
1749205382.74,104.86,2.12
1749205382.90,104.86,2.12
1749205383.02,104.86,2.12
1749205383.25,104.86,2.12
1749205383.45,104.86,2.12
1749205383.64,104.86,2.12
1749205383.82,104.86,2.12
1749205384.08,104.86,2.12
1749205384.27,104.86,2.12
1749205384.43,104.99,2.12
1749205384.72,104.99,2.12
1749205384.92,105.24,2.13
1749205385.07,105.76,2.14
1749205385.23,106.01,2.14
1749205385.37,106.26,2.15
1749205385.49,106.39,2.15
1749205385.66,106.76,2.16
1749205385.83,107.01,2.16
1749205385.99,107.26,2.17
1749205386.15,107.39,2.17
1749205386.29,107.51,2.17
1749205386.43,107.64,2.18
1749205386.56,107.76,2.18
1749205386.72,108.01,2.18
1749205386.90,108.26,2.19
1749205387.05,108.39,2.19
1749205387.19,108.64,2.20
1749205387.34,108.76,2.20
1749205387.48,108.76,2.20
1749205387.62,108.89,2.20
1749205387.76,109.01,2.20
1749205387.92,109.14,2.21
1749205388.17,109.76,2.22
1749205388.33,110.01,2.23
1749205388.51,110.39,2.23
1749205388.68,110.76,2.24
1749205388.83,110.89,2.24
1749205389.00,111.26,2.25
1749205389.16,111.51,2.26
1749205389.32,111.89,2.26
1749205389.52,112.26,2.27
1749205389.68,112.51,2.28
1749205389.89,112.89,2.28
1749205390.04,112.89,2.28
1749205390.18,112.89,2.28
1749205391.46,113.01,2.29
1749205392.48,113.01,2.29
1749205392.71,113.51,2.30
1749205392.87,113.76,2.30
1749205393.06,114.01,2.31
1749205393.20,114.14,2.31
1749205393.39,114.64,2.32
1749205393.54,114.89,2.32
1749205393.69,115.14,2.33
1749205393.82,115.14,2.33
1749205393.95,115.14,2.33
1749205394.09,115.14,2.33
1749205394.21,115.14,2.33
1749205394.37,115.14,2.33
1749205394.50,115.14,2.33
1749205394.65,115.14,2.33
1749205394.83,115.26,2.33
1749205394.99,115.51,2.34
1749205395.12,115.76,2.34
1749205395.27,115.89,2.34
1749205395.46,116.14,2.35
1749205395.62,116.14,2.35
1749205395.80,116.51,2.36
1749205395.97,116.76,2.36
1749205396.15,116.89,2.36
1749205396.28,117.14,2.37
1749205396.44,117.39,2.37
1749205396.59,117.76,2.38
1749205396.82,118.26,2.39
1749205397.03,118.51,2.40
1749205397.17,118.76,2.40
1749205397.34,118.89,2.40
1749205397.50,119.26,2.41
1749205397.66,119.39,2.41
1749205397.79,119.76,2.42
1749205397.98,120.01,2.43
1749205398.14,120.39,2.43
1749205398.33,120.76,2.44
1749205398.48,120.89,2.44
1749205398.62,121.14,2.45
1749205398.79,121.39,2.46
1749205398.95,121.76,2.46
1749205399.12,122.26,2.47
1749205399.29,122.39,2.48
1749205399.42,122.64,2.48
1749205399.57,122.89,2.49
1749205399.74,122.89,2.49
1749205399.93,123.39,2.50
1749205400.09,123.64,2.50
1749205400.24,123.89,2.51
1749205400.39,124.01,2.51
1749205400.54,124.26,2.51
1749205400.71,124.51,2.52
1749205400.86,124.76,2.52
1749205401.04,124.89,2.53
1749205401.23,125.26,2.53
1749205401.40,125.51,2.54
1749205401.59,125.89,2.55
1749205401.76,126.14,2.55
1749205401.89,126.14,2.55
1749205402.16,126.89,2.57
1749205402.30,127.01,2.57
1749205402.51,127.51,2.58
1749205403.50,130.76,2.64
1749205403.79,131.64,2.66
1749205404.05,131.64,2.66
1749205404.31,131.64,2.66
1749205404.45,131.76,2.66
1749205404.62,132.01,2.67
1749205405.53,135.01,2.73
1749205406.49,138.01,2.79
1749205407.02,139.89,2.83
1749205407.18,140.01,2.83
1749205407.36,140.01,2.83
1749205407.51,140.01,2.83
1749205407.67,140.01,2.83
1749205407.83,140.14,2.83
1749205408.17,140.39,2.84
1749205408.32,140.39,2.84
1749205408.49,140.39,2.84
1749205408.66,140.39,2.84
