time_offset,cpu_percent
0.0,78.3
0.1,0.0
0.2,50.0
0.3,100.0
0.4,50.0
0.5,0.0
0.6,100.0
0.7,100.0
0.8,100.0
0.9,100.0
1.0,0.0
1.1,100.0
1.2,100.0
1.3,0.0
1.4,0.0
1.5,100.0
1.6,0.0
1.7,100.0
1.8,100.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,100.0
2.3,33.3
2.4,100.0
2.5,66.7
2.6,0.0
2.7,0.0
2.8,100.0
2.9,100.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,100.0
3.4,100.0
3.5,66.7
3.6,0.0
3.7,100.0
3.8,100.0
3.9,100.0
4.0,0.0
4.1,66.7
4.2,50.0
4.3,100.0
4.4,100.0
4.5,50.0
4.6,100.0
4.7,100.0
4.8,100.0
4.9,100.0
5.0,0.0
5.1,100.0
5.2,100.0
5.3,0.0
5.4,100.0
5.5,100.0
5.6,100.0
5.7,100.0
5.8,100.0
5.9,100.0
6.0,100.0
6.1,100.0
6.2,100.0
6.3,100.0
6.4,100.0
6.5,100.0
6.6,0.0
6.7,100.0
6.8,0.0
6.9,100.0
7.0,100.0
7.1,66.7
7.2,100.0
7.3,100.0
7.4,100.0
7.5,100.0
7.6,100.0
7.7,50.0
7.8,100.0
7.9,50.0
8.0,50.0
8.1,0.0
8.2,100.0
8.3,100.0
8.4,100.0
8.5,100.0
8.6,0.0
8.7,100.0
8.8,100.0
8.9,100.0
9.0,50.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,100.0
9.5,100.0
9.6,0.0
9.7,100.0
9.8,100.0
9.9,100.0
10.0,0.0
10.1,100.0
10.2,0.0
10.3,0.0
10.4,100.0
10.5,100.0
10.6,0.0
10.7,50.0
10.8,0.0
10.9,100.0
11.0,50.0
11.1,0.0
11.2,100.0
11.3,100.0
11.4,100.0
11.5,50.0
11.6,0.0
11.7,66.7
11.8,66.7
11.9,100.0
12.0,100.0
12.1,100.0
12.2,100.0
12.3,0.0
12.4,0.0
12.5,100.0
12.6,50.0
12.7,100.0
12.8,100.0
12.9,100.0
13.0,0.0
13.1,100.0
13.2,0.0
13.3,0.0
13.4,100.0
13.5,0.0
13.6,100.0
13.7,0.0
13.8,100.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,100.0
14.3,100.0
14.4,0.0
14.5,100.0
14.6,100.0
14.7,0.0
14.8,100.0
14.9,100.0
15.0,100.0
15.1,0.0
15.2,0.0
15.3,50.0
15.4,100.0
15.5,100.0
15.6,100.0
15.7,100.0
15.8,0.0
15.9,100.0
16.0,100.0
16.1,100.0
16.2,100.0
16.3,100.0
16.4,0.0
16.5,0.0
16.6,100.0
16.7,100.0
16.8,100.0
16.9,0.0
17.0,0.0
17.1,100.0
17.2,0.0
17.3,0.0
17.4,0.0
17.5,0.0
17.6,0.0
17.7,0.0
17.8,0.0
17.9,0.0
18.0,0.0
