timestamp,memory_mb,memory_percent
1748600367.97,108.89,2.20
1748600368.13,108.89,2.20
1748600368.35,108.89,2.20
1748600368.54,108.89,2.20
1748600369.16,108.89,2.20
1748600370.31,108.89,2.20
1748600371.06,108.89,2.20
1748600373.08,114.52,2.32
1748600375.07,120.39,2.44
1748600375.28,120.77,2.44
1748600375.45,121.27,2.45
1748600375.92,122.64,2.48
1748600377.05,126.02,2.55
1748600377.25,126.52,2.56
1748600377.43,127.02,2.57
1748600378.05,128.77,2.60
1748600378.91,131.64,2.66
1748600380.06,135.39,2.74
1748600381.07,138.64,2.80
1748600381.88,141.14,2.85
1748600382.04,141.64,2.86
1748600382.21,142.14,2.87
1748600382.38,142.64,2.89
1748600382.54,143.02,2.89
1748600382.68,143.39,2.90
1748600382.83,143.77,2.91
1748600382.96,144.27,2.92
1748600383.09,144.52,2.92
1748600383.26,145.14,2.94
1748600383.43,145.64,2.95
1748600383.58,146.02,2.95
1748600383.75,146.64,2.97
1748600383.87,146.89,2.97
1748600384.01,147.39,2.98
1748600384.16,147.77,2.99
1748600384.32,148.27,3.00
1748600384.48,148.64,3.01
1748600384.64,149.14,3.02
1748600384.77,149.89,3.03
1748600384.92,150.27,3.04
1748600385.24,151.27,3.06
1748600385.49,151.89,3.07
1748600385.73,151.89,3.07
1748600386.06,151.89,3.07
1748600386.65,152.27,3.08
1748600387.04,152.27,3.08
1748600388.30,152.39,3.08
1748600389.05,152.39,3.08
1748600390.06,152.39,3.08
1748600391.06,152.39,3.08
1748600391.22,152.39,3.08
1748600391.42,152.39,3.08
1748600392.05,152.39,3.08
1748600393.16,152.39,3.08
1748600394.05,152.39,3.08
1748600395.07,152.39,3.08
1748600396.06,152.39,3.08
1748600396.24,152.39,3.08
1748600397.06,152.39,3.08
1748600398.05,152.39,3.08
1748600398.22,152.39,3.08
1748600399.07,152.39,3.08
1748600400.00,152.39,3.08
1748600400.16,152.39,3.08
1748600400.30,152.39,3.08
1748600400.45,152.39,3.08
1748600400.61,152.39,3.08
1748600400.75,152.39,3.08
1748600400.90,152.39,3.08
1748600401.04,152.39,3.08
1748600402.53,152.39,3.08
1748600402.72,152.39,3.08
1748600403.05,152.39,3.08
1748600403.20,152.52,3.08
1748600403.34,152.52,3.08
1748600404.07,152.64,3.09
1748600404.23,152.64,3.09
1748600404.54,152.64,3.09
1748600404.70,152.64,3.09
1748600404.84,152.89,3.09
1748600405.19,153.02,3.09
1748600406.09,153.02,3.09
1748600406.38,153.02,3.09
1748600407.04,153.02,3.09
1748600408.06,153.02,3.09
1748600409.05,153.02,3.09
1748600409.18,153.02,3.09
1748600410.04,153.02,3.09
1748600410.21,153.02,3.09
1748600411.11,153.02,3.09
1748600411.30,153.02,3.09
1748600412.05,153.02,3.09
1748600412.45,153.02,3.09
1748600413.06,153.02,3.09
1748600414.06,153.02,3.09
1748600414.22,153.02,3.09
1748600414.39,153.02,3.09
1748600414.54,153.02,3.09
1748600414.69,153.02,3.09
1748600414.84,153.02,3.09
1748600414.96,153.02,3.09
1748600415.60,153.02,3.09
1748600416.06,153.39,3.10
1748600416.21,153.39,3.10
1748600416.35,153.39,3.10
1748600416.56,153.39,3.10
1748600417.05,153.39,3.10
1748600417.21,153.39,3.10
1748600418.05,153.39,3.10
1748600418.74,153.39,3.10
1748600418.90,153.39,3.10
1748600419.04,153.39,3.10
1748600420.05,153.39,3.10
1748600421.09,153.39,3.10
1748600421.23,153.39,3.10
1748600421.65,153.39,3.10
1748600421.83,153.39,3.10
1748600422.06,153.39,3.10
1748600422.22,153.39,3.10
1748600423.07,155.52,3.15
1748600424.06,158.64,3.21
1748600424.32,159.52,3.23
1748600424.71,159.64,3.23
1748600424.94,159.77,3.23
1748600425.17,160.02,3.24
1748600426.09,160.02,3.24
1748600427.06,160.02,3.24
1748600427.72,160.02,3.24
1748600428.08,160.02,3.24
1748600428.20,173.70,3.51
1748600428.35,174.38,3.53
1748600428.49,174.38,3.53
1748600428.62,174.38,3.53
1748600428.81,174.38,3.53
1748600428.95,174.38,3.53
1748600429.09,174.38,3.53
1748600429.24,174.38,3.53
1748600429.42,174.38,3.53
1748600429.57,174.38,3.53
1748600429.72,174.38,3.53
1748600429.86,174.38,3.53
1748600429.99,174.38,3.53
1748600430.14,174.38,3.53
1748600430.27,174.38,3.53
1748600430.41,174.38,3.53
1748600430.57,174.38,3.53
1748600430.75,174.38,3.53
1748600430.89,174.38,3.53
1748600431.04,174.38,3.53
1748600431.18,174.38,3.53
1748600431.37,174.38,3.53
1748600431.50,174.38,3.53
1748600431.66,174.38,3.53
1748600431.81,174.38,3.53
1748600431.95,174.38,3.53
1748600432.52,174.38,3.53
1748600432.67,174.38,3.53
1748600432.83,174.38,3.53
1748600433.03,174.38,3.53
1748600433.17,174.38,3.53
1748600434.07,174.38,3.53
1748600434.35,174.38,3.53
1748600435.41,174.38,3.53
1748600437.06,174.50,3.53
1748600437.26,174.50,3.53
1748600438.09,174.50,3.53
1748600439.08,174.50,3.53
1748600440.07,174.50,3.53
1748600440.21,174.50,3.53
1748600441.07,174.50,3.53
1748600442.06,174.50,3.53
1748600443.05,174.50,3.53
1748600443.20,174.50,3.53
1748600443.44,174.50,3.53
1748600443.78,174.50,3.53
1748600444.08,174.50,3.53
1748600444.24,174.50,3.53
1748600444.44,174.50,3.53
1748600444.67,174.50,3.53
1748600445.02,174.50,3.53
1748600445.23,174.50,3.53
